driver_id,name,phone,dl_number,aadhaar,joining_date,home_hub
DRV-021,Pratyush Kanda,+91 8490258311,CH09 20237392547,8737 7086 2775,2026-08-19,Chandigarh
DRV-022,Yatin Chand,+91 9030183584,PB11 20122060605,7205 8606 5951,2024-06-16,Ludhiana
DRV-023,Faraj Dutta,+91 7148514877,UP10 20202948178,2796 4846 9807,2024-10-13,Kanpur
DRV-024,Azad Rajan,+91 8215797881,RJ14 20233592464,9253 7797 2622,2021-02-02,Jaipur
DRV-025,Jeremiah Apte,+91 7916614288,UK12 20118438733,5642 4868 6942,2023-10-12,Rudrapur
DRV-026,Lila Oak,+91 8203681364,DL12 20067679674,4260 4109 3001,2018-08-29,Delhi
DRV-027,Farhan Setty,+91 7695094109,UK01 20066595355,3995 3063 4362,2017-09-07,Rudrapur
DRV-028,Zashil Gokhale,+91 8816037152,DL07 20126512314,8343 3417 1046,2022-03-23,Delhi
DRV-029,Manthan Tripathi,+91 7474127038,CH09 20102844258,7415 1422 3159,2023-02-19,Chandigarh
DRV-030,Rachit Edwin,+91 9583541186,HR11 20053923366,4173 1858 3076,2022-07-05,Gurgaon
DRV-031,Neel Suresh,+91 9443318330,UP16 20197074006,6204 2786 8405,2017-10-31,Kanpur
DRV-032,Mitesh Khatri,+91 9015515683,HR10 20191522621,2498 8847 7580,2018-03-06,Ambala
DRV-033,Brijesh Sunder,+91 8606568138,UP03 20076404139,6983 3430 2076,2024-12-31,Kanpur
DRV-034,Devansh Soman,+91 9074486724,RJ11 20179901266,4415 8433 9282,2026-03-06,Jaipur
DRV-035,Kevin Wable,+91 9299524996,UP07 20188575834,9275 4743 7779,2025-07-04,Kanpur
DRV-036,Hitesh Zacharia,+91 8306564524,UP04 20158159911,4560 5176 7132,2024-06-14,Lucknow
DRV-037,Nachiket Rastogi,+91 8554018799,RJ03 20072564141,5537 2582 7105,2026-08-12,Jaipur
DRV-038,Theodore Varughese,+91 8921783608,RJ11 20087892225,4896 7929 1842,2021-09-20,Jaipur
DRV-039,Isaiah Bhatt,+91 8152223579,CH07 20099089795,3837 2773 6736,2020-09-12,Chandigarh
DRV-040,Imaran Amble,+91 9498946512,HR08 20181440466,6988 5381 1474,2018-04-18,Ambala
DRV-041,Ishwar Bir,+91 9498250499,RJ11 20161102438,3486 3347 7566,2025-10-21,Jaipur
DRV-042,Balendra Varkey,+91 9074714018,DL03 20214609330,5081 7878 8432,2019-10-19,Delhi
DRV-043,Hredhaan Zacharia,+91 8021152517,UP03 20063610197,3289 1815 2336,2018-11-05,Lucknow
DRV-044,Jairaj Solanki,+91 8389473656,CH15 20185582979,3765 9394 2864,2024-12-03,Chandigarh
DRV-045,Champak Chatterjee,+91 7928198895,UP16 20216174418,2372 4612 7475,2023-08-03,Lucknow
DRV-046,Siddharth Roy,+91 7987637686,HR05 20135856117,4687 2965 1126,2021-11-10,Gurgaon
DRV-047,Chandran Bhat,+91 7575726932,UK13 20224860617,6098 6802 2180,2021-04-12,Rudrapur
DRV-048,Chatura Kothari,+91 7138667176,UP01 20192306317,9062 6129 8033,2019-05-19,Kanpur
DRV-049,Ekaraj Sami,+91 8368647947,UP04 20171349914,9915 6321 3815,2019-04-23,Kanpur
DRV-050,Jeet Borra,+91 8185721551,UK14 20085082173,5569 7560 9584,2021-08-23,Rudrapur
DRV-051,Aryan Zachariah,+91 8016754500,DL08 20153820798,2625 9363 2868,2025-03-07,Delhi
DRV-052,Jagat Ganesan,+91 9968555793,HR12 20094963933,2842 3399 5193,2021-04-24,Ambala
DRV-053,Hredhaan Rattan,+91 7500995918,PB03 20109289908,5800 8354 6295,2025-10-11,Ludhiana
DRV-054,Ranveer Agate,+91 7223771462,UP15 20145608259,6844 1920 6766,2026-07-10,Lucknow
DRV-055,Utkarsh Mangal,+91 8513069233,HR02 20067186390,8813 5703 2257,2021-06-18,Ambala
DRV-056,Faras Gupta,+91 8661560394,DL15 20231688246,5684 4084 6267,2020-04-29,Delhi
DRV-057,Azaan Murthy,+91 7202769050,UK04 20152414808,6133 3827 1641,2018-03-03,Rudrapur
DRV-058,Zayan Wali,+91 8439878690,PB06 20167255418,9519 5634 7347,2019-01-27,Ludhiana
DRV-059,Girik Biswas,+91 9224688366,UP02 20152105817,4700 2548 7333,2023-01-04,Kanpur
DRV-060,Saksham Dar,+91 9790496057,CH05 20152367376,6773 3317 6731,2026-02-17,Chandigarh
